Tn	Tp	Rn	Rp	R1	APDS	wl(A)	n1	n2	n3	n4	n5	n6	n7	n8	n_ibri
0.6572320	0.0000000	0.3309458	0.0000000	0.0000000	0.9076992	4507.2115385	1.5270725	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6575004	0.0000000	0.3309763	0.0000000	0.0000000	0.9087861	4537.2050817	1.5268048	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6574689	0.0000000	0.3308252	0.0000000	0.0000000	0.9095818	4567.6004872	1.5265394	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6578017	0.0000000	0.3306254	0.0000000	0.0000000	0.9103548	4598.4058860	1.5262767	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6575687	0.0000000	0.3303351	0.0000000	0.0000000	0.9111709	4629.6296296	1.5260162	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6577068	0.0000000	0.3300981	0.0000000	0.0000000	0.9120747	4661.2802983	1.5257581	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6578248	0.0000000	0.3296642	0.0000000	0.0000000	0.9130732	4693.3667084	1.5255023	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6581526	0.0000000	0.3291282	0.0000000	0.0000000	0.9136491	4725.8979206	1.5252490	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6583908	0.0000000	0.3286013	0.0000000	0.0000000	0.9139015	4758.8832487	1.5249977	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6585089	0.0000000	0.3279081	0.0000000	0.0000000	0.9144717	4792.3322684	1.5247490	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6590690	0.0000000	0.3275317	0.0000000	0.0000000	0.9145002	4826.2548263	1.5245024	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6594685	0.0000000	0.3271025	0.0000000	0.0000000	0.9145168	4860.6610499	1.5242580	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6603264	0.0000000	0.3265229	0.0000000	0.0000000	0.9146990	4895.5613577	1.5240158	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6608606	0.0000000	0.3257875	0.0000000	0.0000000	0.9144055	4930.9664694	1.5237757	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6616873	0.0000000	0.3249605	0.0000000	0.0000000	0.9138446	4966.8874172	1.5235376	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6623781	0.0000000	0.3237487	0.0000000	0.0000000	0.9135224	5003.3355570	1.5233017	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6630237	0.0000000	0.3227309	0.0000000	0.0000000	0.9132404	5040.3225806	1.5230680	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
