eTn	eTp	eRn	eRp	eR1	eAPDS	eLETT	k1	k2	k3	k4	k5	k6	k7	k8	k_ibri
0.0019871	1.0000000	0.0028236	1.0000000	1.0000000	1.0000000	0.0005080	0.0000003	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019819	1.0000000	0.0028321	1.0000000	1.0000000	1.0000000	0.0005079	0.0000003	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019777	1.0000000	0.0028416	1.0000000	1.0000000	1.0000000	0.0005077	0.0000003	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019743	1.0000000	0.0028492	1.0000000	1.0000000	1.0000000	0.0005075	0.0000003	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019712	1.0000000	0.0028562	1.0000000	1.0000000	1.0000000	0.0005074	0.0000004	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019675	1.0000000	0.0028616	1.0000000	1.0000000	1.0000000	0.0005072	0.0000004	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019650	1.0000000	0.0028659	1.0000000	1.0000000	1.0000000	0.0005071	0.0000004	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019631	1.0000000	0.0028696	1.0000000	1.0000000	1.0000000	0.0005069	0.0000003	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019602	1.0000000	0.0028728	1.0000000	1.0000000	1.0000000	0.0005067	0.0000004	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019581	1.0000000	0.0028781	1.0000000	1.0000000	1.0000000	0.0005066	0.0000004	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019556	1.0000000	0.0028813	1.0000000	1.0000000	1.0000000	0.0005065	0.0000004	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019545	1.0000000	0.0028824	1.0000000	1.0000000	1.0000000	0.0005063	0.0000004	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019530	1.0000000	0.0028862	1.0000000	1.0000000	1.0000000	0.0005062	0.0000004	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019524	1.0000000	0.0028879	1.0000000	1.0000000	1.0000000	0.0005060	0.0000004	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019519	1.0000000	0.0028885	1.0000000	1.0000000	1.0000000	0.0005059	0.0000004	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019517	1.0000000	0.0028886	1.0000000	1.0000000	1.0000000	0.0005058	0.0000003	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019522	1.0000000	0.0028887	1.0000000	1.0000000	1.0000000	0.0005057	0.0000003	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019520	1.0000000	0.0028875	1.0000000	1.0000000	1.0000000	0.0005055	0.0000003	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019526	1.0000000	0.0028859	1.0000000	1.0000000	1.0000000	0.0005054	0.0000003	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019520	1.0000000	0.0028837	1.0000000	1.0000000	1.0000000	0.0005053	0.0000003	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019521	1.0000000	0.0028819	1.0000000	1.0000000	1.0000000	0.0005052	0.0000003	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019523	1.0000000	0.0028787	1.0000000	1.0000000	1.0000000	0.0005051	0.0000003	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019529	1.0000000	0.0028747	1.0000000	1.0000000	1.0000000	0.0005050	0.0000003	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019533	1.0000000	0.0028708	1.0000000	1.0000000	1.0000000	0.0005049	0.0000003	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019535	1.0000000	0.0028657	1.0000000	1.0000000	1.0000000	0.0005047	0.0000002	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019546	1.0000000	0.0028629	1.0000000	1.0000000	1.0000000	0.0005046	0.0000002	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019554	1.0000000	0.0028597	1.0000000	1.0000000	1.0000000	0.0005045	0.0000003	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019572	1.0000000	0.0028554	1.0000000	1.0000000	1.0000000	0.0005044	0.0000002	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019582	1.0000000	0.0028500	1.0000000	1.0000000	1.0000000	0.0005043	0.0000003	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019600	1.0000000	0.0028440	1.0000000	1.0000000	1.0000000	0.0005042	0.0000002	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019614	1.0000000	0.0028351	1.0000000	1.0000000	1.0000000	0.0005041	0.0000002	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019627	1.0000000	0.0028277	1.0000000	1.0000000	1.0000000	0.0005041	0.0000003	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019644	1.0000000	0.0028195	1.0000000	1.0000000	1.0000000	0.0005040	0.0000002	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019658	1.0000000	0.0028102	1.0000000	1.0000000	1.0000000	0.0005039	0.0000002	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019678	1.0000000	0.0028026	1.0000000	1.0000000	1.0000000	0.0005038	0.0000002	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019691	1.0000000	0.0027939	1.0000000	1.0000000	1.0000000	0.0005037	0.0000003	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019710	1.0000000	0.0027846	1.0000000	1.0000000	1.0000000	0.0005036	0.0000003	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019728	1.0000000	0.0027749	1.0000000	1.0000000	1.0000000	0.0005035	0.0000003	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019747	1.0000000	0.0027644	1.0000000	1.0000000	1.0000000	0.0005035	0.0000003	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019766	1.0000000	0.0027536	1.0000000	1.0000000	1.0000000	0.0005034	0.0000003	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019789	1.0000000	0.0027430	1.0000000	1.0000000	1.0000000	0.0005033	0.0000003	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019814	1.0000000	0.0027329	1.0000000	1.0000000	1.0000000	0.0005032	0.0000003	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019836	1.0000000	0.0027218	1.0000000	1.0000000	1.0000000	0.0005032	0.0000003	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
