wl(nm)	Tn	Tp	Rn	Rp	R1	APDS	DEL_1	PSI_1	DEL_2	PSI_2	DEL_3	PSI_3	DEL_4	PSI_4
618.302	0.0000000	0.0000000	0.0000000	0.0000000	0.9606791	0.8907636	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
623.96	0.0000000	0.0000000	0.0000000	0.0000000	0.9610151	0.8887336	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
629.723	0.0000000	0.0000000	0.0000000	0.0000000	0.9609628	0.8863691	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
635.593	0.0000000	0.0000000	0.0000000	0.0000000	0.9619252	0.8845094	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
641.574	0.0000000	0.0000000	0.0000000	0.0000000	0.9622536	0.8821976	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
647.668	0.0000000	0.0000000	0.0000000	0.0000000	0.9616583	0.8787884	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
653.88	0.0000000	0.0000000	0.0000000	0.0000000	0.9617365	0.8759210	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
660.211	0.0000000	0.0000000	0.0000000	0.0000000	0.9616779	0.8727232	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
666.667	0.0000000	0.0000000	0.0000000	0.0000000	0.9619252	0.8695141	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
673.25	0.0000000	0.0000000	0.0000000	0.0000000	0.9623999	0.8661893	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
679.964	0.0000000	0.0000000	0.0000000	0.0000000	0.9630723	0.8629319	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
686.813	0.0000000	0.0000000	0.0000000	0.0000000	0.9630716	0.8587115	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
693.802	0.0000000	0.0000000	0.0000000	0.0000000	0.9631760	0.8546209	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
700.935	0.0000000	0.0000000	0.0000000	0.0000000	0.9632261	0.8504190	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
708.215	0.0000000	0.0000000	0.0000000	0.0000000	0.9634781	0.8461214	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
715.649	0.0000000	0.0000000	0.0000000	0.0000000	0.9642650	0.8418991	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
723.24	0.0000000	0.0000000	0.0000000	0.0000000	0.9652751	0.8373224	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
730.994	0.0000000	0.0000000	0.0000000	0.0000000	0.9653232	0.8318563	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
738.916	0.0000000	0.0000000	0.0000000	0.0000000	0.9654866	0.8259475	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
747.012	0.0000000	0.0000000	0.0000000	0.0000000	0.9651752	0.8194798	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
755.287	0.0000000	0.0000000	0.0000000	0.0000000	0.9653255	0.8127384	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
