wl(nm)	eTn	eTp	eRn	eRp	eR1	eAPDS	eDEL_1	ePSI_1	eDEL_2	ePSI_2	eDEL_3	ePSI_3	eDEL_4	ePSI_4
441.956	0.0000000	0.0000000	0.0000000	0.0000000	0.0072402	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
444.84	0.0000000	0.0000000	0.0000000	0.0000000	0.0072496	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
447.761	0.0000000	0.0000000	0.0000000	0.0000000	0.0072546	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
450.721	0.0000000	0.0000000	0.0000000	0.0000000	0.0072620	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
453.721	0.0000000	0.0000000	0.0000000	0.0000000	0.0072712	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
456.76	0.0000000	0.0000000	0.0000000	0.0000000	0.0072779	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
459.841	0.0000000	0.0000000	0.0000000	0.0000000	0.0072855	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
462.963	0.0000000	0.0000000	0.0000000	0.0000000	0.0072960	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
466.128	0.0000000	0.0000000	0.0000000	0.0000000	0.0073042	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
469.337	0.0000000	0.0000000	0.0000000	0.0000000	0.0073132	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
472.59	0.0000000	0.0000000	0.0000000	0.0000000	0.0073196	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
475.888	0.0000000	0.0000000	0.0000000	0.0000000	0.0073257	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
479.233	0.0000000	0.0000000	0.0000000	0.0000000	0.0073335	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
482.625	0.0000000	0.0000000	0.0000000	0.0000000	0.0073360	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
486.066	0.0000000	0.0000000	0.0000000	0.0000000	0.0073388	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
489.556	0.0000000	0.0000000	0.0000000	0.0000000	0.0073435	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
493.097	0.0000000	0.0000000	0.0000000	0.0000000	0.0073450	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
496.689	0.0000000	0.0000000	0.0000000	0.0000000	0.0073449	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
500.334	0.0000000	0.0000000	0.0000000	0.0000000	0.0073457	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
504.032	0.0000000	0.0000000	0.0000000	0.0000000	0.0073502	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
507.786	0.0000000	0.0000000	0.0000000	0.0000000	0.0073519	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
511.596	0.0000000	0.0000000	0.0000000	0.0000000	0.0073575	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
515.464	0.0000000	0.0000000	0.0000000	0.0000000	0.0073635	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
519.391	0.0000000	0.0000000	0.0000000	0.0000000	0.0073728	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
523.378	0.0000000	0.0000000	0.0000000	0.0000000	0.0073765	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
527.426	0.0000000	0.0000000	0.0000000	0.0000000	0.0073787	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
531.538	0.0000000	0.0000000	0.0000000	0.0000000	0.0073798	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
535.714	0.0000000	0.0000000	0.0000000	0.0000000	0.0073833	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
539.957	0.0000000	0.0000000	0.0000000	0.0000000	0.0073841	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
544.267	0.0000000	0.0000000	0.0000000	0.0000000	0.0073875	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
548.647	0.0000000	0.0000000	0.0000000	0.0000000	0.0073889	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
553.097	0.0000000	0.0000000	0.0000000	0.0000000	0.0073940	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
